wbic,secchi,depth_at_samplesite,top_hypolimnion,440_color_10_cm,440_color_1_cm,alk,pH,dic,doc,tic,toc,totnf,totnuf,totpf,totpuf,cl,so4,ca,mg,na,k,fe,mn,upstream_lake_area,upstream_wetland_area,upstream_land_area,upstream_total_area,watershed_area,watershed_perimeter,wtemp_epil,do_epil,o2sat_epi,wtemp_meta,do_metal,o2sat_metal,wtemp_hypol,do_hypol,o2sat_hpyol
20282,0.25,0.25,-999,1.0055,0.1009,286.29,6.054,10.94,23.06,11.47,22.18,1511,6112,153.5,180,0.31,0.63,5.43,1.7,0.627,0.276,2.06,0.174,4965726,7470750,20261643,32698119,47429,1056,18.5,4.05,44.3,-999,-999,-999,-999,-999,-999
20966,1.1,10,5,0.9296,0.0936,-8.05,4.66,2.3,30.94,2.98,30.25,853,860,5,12,0.27,0.56,1.56,0.515,0.361,0.584,0.681,0.047,8686,51995,51995,112676,4184,317,22.4,6.57,76,12.61,2.19,23.11,4.74,0.19,1.4
22177,0.5,0.5,-999,0.2062,0.0211,1911.97,7.011,26.12,8.38,25.58,8.94,524,570,12,6,0.28,2.48,27.5,6.51,1.81,0.855,0.293,0.02,37194229,68662446,224047170,329903840,4185,264,21.6,3.39,39,-999,-999,-999,-999,-999,-999
22457,0.33,0.75,-999,0.9717,0.1115,551.19,6.363,9.1,31.9,9.42,29.89,1336,1336,34,39,0.21,0.28,10.5,3.03,0.849,0.317,1.35,1.29,36763174,60627952,167730300,265121430,2095,211,18.2,2.75,28.8,17.08,1.16,11.85,-999,-999,-999
1113500,1.5,1.5,-999,0.1197,0.0131,538.36,7.499,7.48,4.99,7.73,5.11,445,335,20,9,8.65,5.96,9.47,3.14,5.31,1.65,0.025,0.001,1706,0,1782,3488,3488,264,17.15,8.41,87.29,17,8.66,89.5,-999,-999,-999
2000000,0.63,1.1,-999,0.4799,0.0501,-18.02,4.665,0.97,22.4,2.88,20.74,1389,821,49,13,0,0,0.981,0.284,0.104,0.063,0.253,0.025,1969,51069,106839,159877,108808,1637,23.6,8.2,97.6,21.91,5.39,63.03,-999,-999,-999
2012300,0.48,5,4.5,0.7383,0.0716,-71.74,4.093,1.33,25.12,1.62,25.3,535,520,7,4,0,0.45,0.438,0.128,0.209,0.561,0.302,0.005,1982,6569,18248,26800,20230,1057,17.1,6.44,66.6,13.32,3.15,32.05,6.65,0.25,1.95
2020500,1.78,2.3,-999,0.098,0.0129,676.71,7.601,9.01,7.94,9.24,7.62,476,449,16,12,1.67,1.45,9.9,3.42,1.77,0.376,0.167,0.012,1669,0,17164,18833,18833,740,21,8.35,99.3,21.29,5.95,68.28,-999,-999,-999
18853,0.7855,2.9899,4.752,0.5837,0.0609,464.5406,5.8435,7.9897,20.2863,8.4757,19.6989,870.143,1092.656,29.4185,25.07,1.5026,1.5447,8.1611,2.2715,1.4141,0.625,0.5679,0.2143,10926020,18729715,56038529,85020762,24243.372,652.21,19.9319,6.0158,66.8266,17.358,4.4499,48.2768,5.695,0.2199,1.6756
19331,0.8391,2.8263,4.735,0.5307,0.0557,515.2627,5.9607,8.4399,18.8278,8.9011,18.3664,826.937,986.001,27.551,22.3,1.6648,1.6674,8.5138,2.363,1.5077,0.6501,0.5184,0.1895,10560098,18349178,56177117,85133578,24152.68,651.791,19.9435,6.1137,67.845,17.3019,4.4034,47.5976,5.7428,0.2213,1.686
1124550,0.7948,2.7445,4.749,0.5685,0.0595,492.0025,5.938,8.3408,19.6105,8.8054,18.9055,859.281,1139.864,31.1755,26.851,1.5631,1.5899,8.493,2.3893,1.4533,0.6237,0.5916,0.22,11376366,19540889,59531677,90887267,23586.343,650.252,19.9017,5.942,66.1257,17.2857,4.488,48.4461,5.6931,0.2201,1.6761
1145300,0.7921,2.8347,4.7445,0.5728,0.06,465.6727,5.875,7.9892,19.8987,8.4377,19.3936,870.438,1078.447,29.927,25.175,1.5334,1.5427,8.0595,2.2733,1.4339,0.6284,0.5702,0.2194,10647807,18339296,55014691,84326940,25048.995,667.896,19.8759,6.0229,66.787,17.2651,4.6084,49.5912,5.6969,0.2204,1.6767
1148200,0.7971,2.9977,4.7575,0.5834,0.0611,475.5062,5.8522,8.09,20.2184,8.519,19.6652,874.238,1120.455,30.3885,26.138,1.423,1.4825,8.1382,2.2792,1.3649,0.6101,0.5925,0.2277,11014811,18952987,56966168,86776728,25537.179,668.937,19.9925,5.9494,66.4773,17.264,4.5141,48.6507,5.6893,0.2199,1.675
1607500,0.7729,2.7836,4.7495,0.5787,0.0606,465.794,5.8405,7.9753,20.0664,8.5285,19.4351,884.216,1157.385,31.944,27.132,1.4839,1.5183,8.1422,2.271,1.3992,0.6188,0.5809,0.2153,11071521,19148064,57911910,87418612,25728.311,673.796,19.9693,6.0076,66.8019,17.071,4.3821,47.1814,5.7237,0.2208,1.6838
2028700,0.7828,2.8562,4.746,0.567,0.0592,489.0985,5.8415,8.2118,19.9159,8.7757,19.3624,865.697,1101.057,30.516,25.809,1.379,1.4885,8.3199,2.3021,1.344,0.6044,0.5633,0.1978,10829152,19001181,58149963,88135460,26489.262,687.7,20.0512,6.0038,67.226,17.0241,4.3197,46.5619,5.7294,0.221,1.6827
19850,0.35,1,-999,0.8,0.0782,185.56,6.683,3.35,19.69,4.42,19.03,1783,1873,100,65,0.3,1.24,4.06,0.898,0.371,0.727,0.429,0.012,1959652,6833899,21066395,29859945,4879,317,26.3,8.05,97.1,23.68,7.78,88.4,-999,-999,-999
20888,1.2,5.1,4.5,0.5484,0.0533,9.37,5.016,0.88,19.11,1.02,18.49,723,640,3,5,0.07,1,1.13,0.374,0.295,0.642,0.223,0.04,1882586,2600331,11684249,16167166,7672,423,22.3,6.45,74.5,15.55,3.66,39.93,6.18,0.19,6.9
21006,0.15,0.15,-999,0.3837,0.0389,143.81,5.877,4.73,16.51,5.39,14.78,1070,1015,33,23,3.35,0,1.91,1.14,2.32,2.05,0.646,0.05,1084765,2220911,10711050,14016726,29293,898,19.6,4.01,44.1,-999,-999,-999,-999,-999,-999
1116600,0.3,1.7,-999,0.9801,0.0966,-85.69,4.113,1.13,28.13,1.57,27.94,729,746,16,22,0.06,0.86,0.721,0.248,0.272,0.181,0.601,0.022,628532380,1494570200,7532200300,9655302900,25815,898,21.9,7.16,81.2,16.11,3.16,34.13,-999,-999,-999
1122300,0.95,3,-999,0.2678,0.0316,26.51,5.427,1.38,12.4,2.08,11.29,900,895,31,17,0.27,0.11,0.756,0.255,0.065,0.514,0.104,0.027,36454,67886,317875,422215,21618,845,22.8,5.78,67.65,18.88,1.5,17.1,-999,-999,-999
1518900,-999,2,-999,0.0347,0,991.34,7.466,13.5,1.31,13.4,0.97,274,124,42,23,0.83,4.21,12.6,4.75,2.13,0.842,0.006,0.038,2460023,2172658,26091035,30723715,25815,1004,13.6,11.2,119.7,11.45,9.8,96.5,8.95,4.4,42.4
2026800,1.55,3.15,-999,0.3236,0.0348,-10.12,4.774,1.02,13.47,1.34,13.17,465,402,10,4,0.09,0,0.48,0.14,0.228,0.658,0.123,0.03,2857,4407,12485,19749,15342,687,23.3,6.02,70.1,17.08,2.59,29.38,-999,-999,-999
21030,0.7034,2.3454,-999,0.4598,0.0458,201.8283,5.6082,4.066,15.5859,4.5276,14.7633,791.159,743.162,29.861,20.661,0.7795,1.2053,3.4067,1.2799,0.9027,0.8023,0.3041,0.033,109834880,258790890,1298197500,1693084900,20100.22,765.761,20.6826,7.0492,79.6022,16.4705,4.7362,50.0863,7.5844,2.3203,24.8275
21554,0.7099,2.419,-999,0.4745,0.0472,187.0641,5.5305,3.8408,15.9063,4.2992,15.1471,774.228,731.593,28.097,19.839,0.7152,1.1639,3.2194,1.2127,0.8575,0.7792,0.3073,0.0328,125490850,297537540,1493371800,1904639000,20304.076,770.19,20.7384,7.0576,79.6351,16.3341,4.7034,49.3551,7.601,2.3329,24.8985
1137800,0.7429,2.3823,-999,0.4649,0.0463,191.8178,5.583,3.8896,15.7614,4.3153,14.996,791.913,744.796,28.972,20.046,0.7717,1.1354,3.2044,1.198,0.8795,0.8171,0.3076,0.0331,104179010,245380150,1222672800,1528827800,19696.735,753.775,20.7735,6.9316,78.2448,16.3645,4.6852,49.5751,7.5456,2.2697,24.508
1153300,0.7066,2.2838,-999,0.4646,0.0462,204.9773,5.6183,4.1625,15.7229,4.559,14.9826,797.382,751.77,30.305,21.029,0.8449,1.1827,3.3797,1.2923,0.9548,0.8421,0.3171,0.0334,106715280,248384740,1253305000,1616177700,20320.667,767.714,20.6051,7.0482,79.346,16.3634,4.7642,50.4041,7.5622,2.2866,24.508
1156100,0.7079,2.3144,-999,0.4673,0.0466,186.2121,5.5882,3.8154,15.7554,4.2657,14.9919,814.318,775.293,30.505,20.983,0.7831,1.0754,3.0803,1.1543,0.8732,0.8171,0.3116,0.0324,104100890,246848940,1244700400,1624563600,19931.598,759.819,21.0277,6.9404,78.6889,16.6503,4.7139,49.9402,7.6204,2.375,25.218
1568600,0.7059,2.3673,-999,0.4562,0.0454,214.3808,5.6624,4.1454,15.3994,4.5538,14.6761,805.816,762.88,31.384,21.514,0.7452,1.208,3.4114,1.2642,0.8813,0.7966,0.3035,0.0325,107318990,252900390,1283092900,1664063200,19978.685,759.833,20.8423,7.006,79.1756,16.5308,4.6348,49.0815,7.5622,2.2866,24.5435
2009900,0.7555,2.3477,-999,0.4444,0.0444,207.3585,5.6311,4.1204,15.3319,4.5537,14.5473,784.469,737.497,29.544,20.335,0.8285,1.1946,3.4463,1.3083,0.9461,0.8404,0.3026,0.0336,99790070,234892870,1185261800,1528898500,20434.919,773.102,20.5509,6.9921,78.7853,16.1561,4.9426,51.7847,7.5927,2.3329,24.9695
2037100,0.7034,2.3223,-999,0.4752,0.0476,184.6075,5.5897,3.845,16.0938,4.2965,15.3216,828.167,790.961,30.503,21.4,0.852,1.0702,3.0836,1.1569,0.9191,0.8619,0.3263,0.0336,100433200,241047930,1222958300,1567885400,19857.165,750.647,20.8625,6.866,77.384,16.6416,4.546,48.3238,7.4459,2.1098,22.946
20849,0.1,0.1,-999,0.0363,0,1799.92,7.792,22.96,1.64,23.11,1.59,323,191,27,10,0.34,5.17,27.3,7.05,2.19,0.905,0,0.002,24538843,27938722,143503340,195980910,34873,1109,12.2,5.15,47,-999,-999,-999,-999,-999,-999
22221,0.3,0.6,-999,0.5013,0.0522,28.52,5.27,5.02,16.91,2.97,16.14,1279,1644.5,39,65,0.04,0,1.43,0.311,0,0.143,0.494,0.054,8619,26584,588453,623655,17437,581,22,5.79,65.5,-999,-999,-999,-999,-999,-999
1113900,1.2,1.95,-999,0.1994,0.0232,13.06,5.367,1.06,9.55,1.28,9.24,589,469,13,4,0.47,1.1,0.669,0.222,0.205,0.643,0.157,0.03,12227420,15545398,138905930,166678750,42535,1162,23.38,5.29,61.89,23,4.78,56,-999,-999,-999
1116500,1.35,1.9,-999,0.2968,0.0286,13.32,5.256,1.57,10,1.67,9.71,-999,-999,-999,-999,0.23,0.9,-999,-999,-999,-999,-999,-999,3589,3125,61282,67996,64871,1426,20.1,6.4,70.7,19.05,6.13,66.09,-999,-999,-999
1125000,1.6,3.4,-999,0.2006,0.0215,22.54,5.637,1.19,7.7,1.41,7.36,381,327,15,8,1.16,0.42,0.55,0.227,0.672,1.11,0.087,0.012,628532380,1494570200,7532200300,9655302900,189724,2430,25,6.19,74.85,19.71,2.51,29.28,-999,-999,-999
2037400,0.8,4,3,0.428,0.0359,28.86,5.583,0.86,14.01,1.78,13.15,704,745,35,34,0.31,0.33,0.945,0.257,0.07,1.14,0.144,0.035,4667,34451,277832,316949,282498,3117,15.4,8.13,81.3,10.27,3.23,31.1,5.1,0.35,2.73
20148,0.9765,2.0028,-999,0.2842,0.0284,210.8426,5.6563,4.2258,10.3754,4.0181,9.9654,686.376,720.781,24.5,24.475,0.4398,1.059,4.2428,1.1233,0.5076,0.7347,0.1992,0.0285,130017490,303356660,1562562700,2011552500,97223.167,1565.753,20.7649,6.0846,67.5303,18.2342,4.2007,46.0619,-999,-999,-999
22106,1.0009,1.9803,-999,0.2867,0.0289,191.2174,5.6372,4.1158,10.3366,3.9406,9.9364,683.893,711.5465,24.034,23.995,0.4517,1.0447,4.179,1.102,0.5107,0.7322,0.201,0.0282,137943390,322496580,1644144100,2125965100,91776.104,1517.619,20.9584,6.0325,67.219,18.5734,4.2254,46.5326,-999,-999,-999
1114800,0.9691,2.0093,-999,0.2896,0.029,196.9228,5.6436,4.1354,10.5095,3.9504,10.053,703.063,749.0695,25.06,25.706,0.449,1.0237,4.395,1.1532,0.5055,0.724,0.2071,0.0289,133110900,310826870,1586698500,2033095900,95437.288,1544.413,20.9464,6.0472,67.3817,18.3758,4.2594,46.6084,-999,-999,-999
1138300,0.9954,2.0141,-999,0.2826,0.0284,191.1748,5.6387,4.0039,10.3202,3.7982,9.9126,689.866,725.7875,24.552,24.823,0.458,1.0196,4.2431,1.1101,0.5041,0.7358,0.2035,0.0286,133824260,309422240,1565288600,2014615700,97768.961,1573.468,20.7755,6.0835,67.614,18.3984,4.2133,46.2981,-999,-999,-999
1152900,0.9671,1.9564,-999,0.2773,0.0276,246.4122,5.712,4.6917,10.091,4.5435,9.6721,679.359,717.2995,24.834,24.785,0.439,1.1275,4.6697,1.2196,0.5428,0.7473,0.198,0.028,121475580,284253160,1422291200,1822383900,94647.176,1539.704,20.4991,6.0568,66.8819,18.5711,4.2489,46.9429,-999,-999,-999
1172000,0.9901,2.0344,-999,0.2855,0.0285,191.1793,5.636,4.003,10.4339,3.8084,9.9858,690.059,723.099,24.482,24.696,0.4575,1.0125,3.9781,1.0553,0.4882,0.7405,0.1988,0.0284,132591700,310981970,1588469800,2044811800,98446.189,1575.473,20.8671,6.0586,67.3408,18.3734,4.2207,46.252,-999,-999,-999
1614800,0.9958,2.0158,-999,0.2871,0.0289,180.8101,5.6247,3.929,10.4554,3.6621,10.0379,686.834,724.9215,24.3,24.634,0.4673,0.9555,3.9229,1.0555,0.5004,0.7349,0.2026,0.0285,146522000,343125870,1748309000,2259405500,95281.178,1542.244,21.1488,6.0488,67.6203,18.3697,4.2022,46.0505,-999,-999,-999
2019900,0.9618,1.9175,-999,0.29,0.0291,201.9291,5.6397,4.2215,10.5027,3.9965,10.0657,704.819,742.565,24.484,25.079,0.4249,1.0432,4.0153,1.0494,0.476,0.7103,0.2089,0.0295,119355940,278005420,1421764100,1820930700,93425.524,1533.475,20.9235,6.0474,67.3268,18.5003,4.2784,47.0254,-999,-999,-999
2033000,1.015,2.0072,-999,0.2844,0.0288,174.9542,5.6081,3.8561,10.3978,3.6468,9.9898,671.756,695.0815,23.72,23.052,0.4568,0.9793,3.9283,1.0394,0.491,0.7445,0.1935,0.0281,135367310,316481280,1599473100,2039552800,94815.236,1546.675,20.9095,6.0697,67.6393,18.4428,4.1567,45.627,-999,-999,-999
20501,0.85,0.85,-999,0.3144,0.032,43.66,5.67,1.36,10.62,2.2,10.56,615,615,13,15,0.39,0.75,1.04,0.327,0.184,0.244,0.22,0.019,2123825,2187849,7604552,11916226,37665,1215,24.4,7.2,85.5,23.05,6.56,76.2,-999,-999,-999
1125300,0.8,0.8,-999,0.3818,0.0419,126.18,6.753,3.55,9.86,4.57,8.91,1002,759,70,52,0.87,0.34,1.57,0.637,0.783,1.16,0.44,0.063,628532380,1494570200,7532200300,9655302900,59288,1373,24.5,8.48,102.8,23.23,7.57,90.28,-999,-999,-999
1129400,1.55,8.5,7,0.2214,0.0201,-20.82,4.654,0.74,9.67,0.88,9.99,274,235.5,10,4,0.12,1.28,0.461,0.134,0.06,0.253,0.158,0.009,58916547,145207420,570576770,774700740,83708,1373,17.54,7.25,76.01,9.51,1.26,12.01,5.1,0.25,1.9
1172900,1.75,5.9,5.25,0.1594,0.0139,45.96,5.88,2.18,9.92,3.36,14.39,530,655,6,20,0.34,0.34,0.932,0.3,0.179,0.315,0.061,0.02,21405922,13845482,88421580,123672980,147191,1954,19.6,7.74,85.2,13.41,3.62,37.33,6.35,0.34,2.75
2017500,1.25,2.5,-999,0.2048,0.0191,5.45,5.09,0.69,8.06,0.93,8.37,454,434,9,12,0.145,0.905,0.938,0.229,0.231,0.357,0.19,0.027,26754005,14027209,143746160,184527370,90674,1849,15.55,8.24,82.85,11.06,4.33,40.83,-999,-999,-999
21206,1.2818,4.1374,6.1058,0.2544,0.0252,43.3736,5.6586,1.8509,9.6591,2.5723,10.6447,586.413,545.457,24.607,22.691,0.4026,0.692,0.9966,0.3412,0.315,0.5154,0.2196,0.0294,186760560,435303930,2183857900,2822283400,87023.5,1548.288,20.4869,7.8177,87.3248,15.9829,4.5639,50.7029,5.7225,0.2951,2.3267
21607,1.2951,4.2702,6.1338,0.2547,0.0253,43.614,5.6636,1.8669,9.7217,2.5969,10.7739,581.014,541.384,23.958,22.101,0.3935,0.7011,0.9758,0.3343,0.3027,0.505,0.2153,0.0286,182615410,420467290,2095326000,2701010400,89279.195,1555.56,20.3882,7.7911,86.9298,15.7491,4.4313,49.1206,5.7188,0.2948,2.3233
1135800,1.28,4.0775,6.132,0.2571,0.0256,45.913,5.6948,1.9082,9.695,2.6513,10.675,598.123,554.315,24.981,23.052,0.4104,0.6802,1.0046,0.345,0.315,0.5122,0.217,0.0292,182589560,419266520,2096017400,2709452100,89392.703,1567.565,20.398,7.8124,87.2445,15.856,4.5431,50.4588,5.7175,0.2943,2.3182
