Station ID ,date,Latitude (N) ,Longitude (W) ,Temp (°C) ,Sp. Cond (μS cm−1) ,DO (mg L−1) ,Chl-a (μg L−1) ,Water depth (m)
GB-26S ,,44°49′24.32″ ,87°40′14.24″ ,21,305,11.3,2.4,13.2
GB-45 ,,45°01′21.51″ ,87°34′20.81″ ,21.7,337,8.7,1.5,14.8
GB-22 ,,44°50′18.35″ ,87°45′33.47″ ,22,339,9.7,3.8,13.3
GB-39 ,,44°58′30.38″ ,87°30′27.45″ ,21.3,301,11.8,1.6,27.4
GB-44 ,,45°01′12.50″ ,87°30′29.90″ ,21.5,300,11.4,1.5,28
GB-48 ,,45°04′02.23″ ,87°26′38.18″ ,22,335,9.5,1.8,30.7
GB-48W ,,45°06′14.15″ ,87°31′12.02″ ,22.2,318,9.4,1.4,21
GB-30E ,,44°52′58.85″ ,87°24′52.17″ ,22.3,339,10.5,3.8,7.1
GB-30 ,,44°55′37.91″ ,87°26′45.72″ ,21.4,301,13.4,2.5,17.9
GB-39-Pump ,,44°58′30.39″ ,87°30′27.46″ ,21.3,301,11.8,1.6,27.4
GB-38 ,,44°58′28.02″ ,87°26′43.57″ ,23.3,318,7.3,1.3,27.4
