20090818	15:30:00	8	40.0969	-71.7587	5.4	89.213	102.309	33.483	0.021283027	0.249816479	0.15864936	0.092025878	0.056521579	09-2005	0.210	0.021	0.027	0.013	0.013	0.036	0.003	0.031	0.005	0.032	0.008	0.042	0.205	0.001	0.005	0.021	0.001	0.016	0.011	0.002	0.002	0.005	0.003	0.004	0.001	0.001	0.258	0.094	0.089	0.347	0.183	0.231	0.441	0.155	1.10	0.49	0.51	1.41	0.21	0.79	0.48	0.26	0.34	0.41	0.14	-777.00	0.07	2.21	0.18	0.422	0.24	-999.0	-999.0	-999	4.86E+04
20090818	15:30:00	8	40.0969	-71.7587	5.4	-999	-999	-999	-999	-999	-999	-999	-999	09-2006	0.212	0.024	0.027	0.014	0.012	0.035	0.003	0.030	0.005	0.031	0.007	0.041	0.207	0.001	0.005	0.024	0.001	0.016	0.011	0.002	0.003	0.005	0.003	0.004	0.001	0.001	0.263	0.093	0.085	0.348	0.178	0.229	0.441	0.153	1.08	0.48	0.52	1.48	0.21	0.79	0.48	0.25	0.33	0.42	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.0	-999.0	-999	-999
20090818	15:30:00	8	40.0969	-71.7587	22.7	91.373	287.517	60.740	0.016931176	0.370807594	0.254514892	0.161532234	0.09365471	09-2007	1.702	0.234	0.311	0.089	0.068	0.187	0.092	0.054	0.001	0.310	0.118	0.133	1.669	0.001	0.033	0.234	0.001	0.196	0.115	0.001	0.019	0.016	0.040	0.075	0.001	0.001	2.247	0.368	0.683	2.930	1.051	1.596	3.298	1.142	0.94	0.65	0.35	2.14	0.11	0.89	0.52	0.37	0.30	0.32	0.09	-777.00	0.44	3.12	-777.00	0.149	1.24	-999.0	-999.0	-999	1.58E+05
20090818	20:09:00	9	39.9757	-72.5107	2.1	82.135	85.759	16.491	0.023388985	0.177347658	0.104082102	0.063077424	0.035721029	09-2008	0.140	0.022	0.006	0.013	0.004	0.009	0.001	0.010	0.002	0.017	0.005	0.060	0.136	0.001	0.004	0.022	0.001	0.006	0.001	0.003	0.003	0.005	0.004	0.001	0.004	0.001	0.168	0.085	0.035	0.203	0.120	0.148	0.288	0.117	1.06	0.29	0.71	1.40	0.30	0.70	0.49	0.19	0.11	0.70	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0	-999.00	-999.0	-999.0	-999	-999.0
20090818	22:40:00	11	40.0588	-72.8366	3.0	100.172	143.057	-999	0.020988555	0.369976169	0.226893459	0.129186222	0.071637015	09-2009	0.375	0.009	0.064	0.017	0.016	0.053	0.002	0.037	0.005	0.140	0.011	0.050	0.366	0.001	0.009	0.009	0.001	0.047	0.017	0.001	0.001	0.001	0.002	0.008	0.001	0.001	0.448	0.111	0.220	0.668	0.331	0.404	0.779	0.281	1.08	0.66	0.34	1.35	0.14	0.86	0.48	0.54	0.25	0.21	1.61	0.03	0.57	4.23	-777.00	0.1275	0.51	1960	0.144307991	1.972466021	-999.0
20090818	22:40:00	11	40.0588	-72.8366	5.4	99.160	139.051	-999	0.021122592	0.38315773	0.226967864	0.125697475	0.071652624	09-2010	0.212	0.008	0.039	0.014	0.016	0.050	0.001	0.032	0.004	0.042	0.010	0.049	0.204	0.001	0.008	0.008	0.001	0.023	0.016	0.001	0.001	0.003	0.002	0.006	0.001	0.001	0.259	0.100	0.118	0.377	0.218	0.265	0.477	0.176	1.25	0.54	0.46	1.19	0.21	0.79	0.44	0.30	0.38	0.32	0.20	-777.00	0.26	7.19	0.88	0.9425	0.21	2090.568182	0.187780237	2.326030646	-999.0
20090818	22:40:00	11	40.0588	-72.8366	30.5	76.104	307.505	-999	0.017725968	0.389405423	0.253760317	0.162238089	0.090177126	09-2127	3.896	0.217	0.797	0.109	0.053	0.231	0.114	0.114	0.001	1.694	0.173	0.065	3.820	0.001	0.076	0.217	0.001	0.548	0.249	0.003	0.021	0.014	0.054	0.059	0.001	0.001	4.910	0.402	2.151	7.061	2.553	3.567	7.463	2.547	0.92	0.84	0.16	1.92	0.05	0.95	0.52	0.73	0.16	0.11	1.02	-777.00	0.29	6.59	-777.00	0.4225	4.22	2172.159091	1.442320032	0.752364511	-999.0
20090818	22:40:00	11	40.0588	-72.8366	30.5	-999	-999	-999	-999	-999	-999	-999	-999	09-2127.5	3.892	0.204	0.792	0.110	0.047	0.227	0.112	0.115	0.001	1.660	0.169	0.064	3.813	0.001	0.080	0.204	0.001	0.550	0.242	0.003	0.019	0.014	0.051	0.081	0.001	0.001	4.888	0.401	2.103	6.991	2.504	3.500	7.392	2.483	0.90	0.84	0.16	1.95	0.05	0.95	0.53	0.74	0.16	0.11	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.0	-999	-999	-999.0
20090818	22:40:00	11	40.0588	-72.8366	35.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3.88	0.04	0.79	9.32	-777.00	0.2955	1.48	2066.477273	0.32954109	1.25874088	-999.0
20090819	11:08:00	15	39.0984	-73.3435	2.6	105.240	82.843	18.193	0.022417645	0.282668458	0.170930508	0.094930533	0.06078696	09-2011	0.151	0.007	0.019	0.013	0.004	0.012	0.001	0.010	0.002	0.040	0.005	0.036	0.144	0.001	0.007	0.007	0.001	0.013	0.006	0.001	0.001	0.002	0.003	0.003	0.001	0.001	0.177	0.061	0.061	0.238	0.122	0.148	0.299	0.104	0.98	0.50	0.50	1.45	0.20	0.80	0.51	0.43	0.15	0.41	0.49	-777.00	0.30	6.27	0.30	0.2995	0.22	1950.454545	0.313962448	21.97573294	-999.0
20090819	11:08:00	15	39.0984	-73.3435	4.9	97.727	77.596	19.076	0.022327911	0.285946445	0.174411686	0.100431825	0.057862275	09-2012	0.164	0.008	0.020	0.014	0.004	0.013	0.001	0.010	0.002	0.039	0.005	0.040	0.158	0.001	0.006	0.008	0.001	0.014	0.006	0.001	0.001	0.003	0.003	0.002	0.002	0.001	0.192	0.066	0.061	0.253	0.127	0.155	0.319	0.109	0.95	0.48	0.52	1.51	0.21	0.79	0.51	0.40	0.16	0.44	-999.00	0.14	0.52	6.77	0.19	0.172	0.22	2202.272727	0.582878643	20.41701049	6.08E+04
20090819	11:08:00	15	39.0984	-73.3435	23.9	78.464	283.860	73.321	0.017563769	0.405947879	0.271578115	0.171776198	0.09515155	09-2013	1.427	0.345	0.296	0.074	0.053	0.222	0.043	0.050	0.001	0.227	0.171	0.073	1.383	0.001	0.043	0.326	0.019	0.161	0.135	0.001	0.026	0.021	0.037	0.087	0.001	0.001	2.068	0.240	0.673	2.741	0.913	1.554	2.981	1.134	1.09	0.74	0.26	2.27	0.08	0.92	0.48	0.35	0.28	0.37	-999.00	0.03	0.38	7.51	0.05	0.153	1.10	2129.772727	0.811881027	1.491163026	8.11E+04
20090819	11:08:00	15	39.0984	-73.3435	30.0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.54	0.16	0.73	11.64	0.91	0.107	1.87	2193.295455	0.446095838	1.258306158	5.73E+04
20090819	15:45:00	17	39.0129	-73.8157	2.5	110.452	124.731	24.331	0.02024816	0.495448768	0.312629091	0.178932516	0.102047999	09-2014	0.349	0.018	0.023	0.037	0.001	0.005	0.001	0.028	0.004	0.070	0.004	0.135	0.332	0.001	0.016	0.018	0.001	0.020	0.003	0.029	0.007	0.006	0.003	0.002	0.001	0.001	0.390	0.204	0.079	0.469	0.283	0.324	0.673	0.232	0.93	0.28	0.72	1.38	0.30	0.70	0.52	0.32	0.02	0.66	-999.00	-999.00	0.15	3.60	0.11	0.2095	0.33	-999.0	-999.0	-999	1.72E+05
20090819	15:45:00	17	39.0129	-73.8157	2.5	-999	-999	-999	-999	-999	-999	-999	-999	09-2128	0.413	0.034	0.026	0.041	0.001	0.005	0.001	0.028	0.004	0.075	0.004	0.146	0.371	0.001	0.042	0.034	0.001	0.023	0.003	0.045	0.013	0.008	0.003	0.003	0.001	0.001	0.473	0.219	0.084	0.557	0.303	0.363	0.776	0.264	0.88	0.28	0.72	1.56	0.28	0.72	0.53	0.30	0.02	0.68	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.0	-999.0	-999	-999
20090819	15:45:00	17	39.0129	-73.8157	5.8	112.227	194.286	76.374	0.020096744	0.50807046	0.321108483	0.182826816	0.106772469	09-2015	0.432	0.024	0.045	0.037	0.001	0.017	0.006	0.024	0.007	0.097	0.019	0.128	0.417	0.001	0.015	0.024	0.001	0.034	0.011	0.023	0.006	0.007	0.008	0.005	0.001	0.001	0.501	0.202	0.133	0.634	0.335	0.404	0.836	0.291	0.94	0.40	0.60	1.50	0.24	0.76	0.52	0.40	0.08	0.52	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0	-999.00	-999.0	-999.0	-999	5.13E+04
20090819	15:45:00	17	39.0129	-73.8157	5.8	-999	-999	-999	-999	-999	-999	-999	-999	09-2016	3.806	0.254	0.819	0.168	0.085	0.592	0.129	0.185	0.001	0.592	0.923	0.228	3.746	0.001	0.060	0.254	0.001	0.546	0.273	0.018	0.037	0.026	0.070	0.117	0.001	0.001	4.879	0.710	2.192	7.071	2.902	3.975	7.781	2.803	1.04	0.76	0.24	1.68	0.09	0.91	0.49	0.54	0.29	0.17	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0	-999.00	-999.0	-999.0	-999	-999.0
20090819	15:45:00	17	39.0129	-73.8157	18.5	102.954	444.915	87.461	0.017623087	0.491833047	0.326522995	0.202304782	0.11555032	09-2017	3.722	0.245	0.812	0.163	0.083	0.595	0.126	0.185	0.001	0.575	0.920	0.218	3.654	0.001	0.068	0.245	0.001	0.539	0.273	0.017	0.036	0.025	0.073	0.120	0.001	0.001	4.779	0.692	2.173	6.952	2.865	3.922	7.644	2.762	1.05	0.76	0.24	1.67	0.09	0.91	0.49	0.54	0.29	0.17	0.36	0.24	0.58	3.45	0.18	0.257	2.89	-999.0	-999.0	-999	-999.0
20090819	23:02:00	20	38.4636	-73.2999	2.0	69.894	93.559	17.263	0.024578573	0.141182117	0.084842174	0.048017229	0.027007026	09-2018	0.171	0.013	0.016	0.017	0.006	0.016	0.001	0.010	0.001	0.029	0.004	0.094	0.133	0.034	0.004	0.009	0.004	0.011	0.005	0.001	0.002	0.003	0.003	0.002	0.001	0.001	0.200	0.121	0.055	0.255	0.176	0.205	0.376	0.162	1.20	0.31	0.69	1.14	0.32	0.68	0.45	0.20	0.14	0.66	0.50	0.08	0.21	5.63	0.41	0.7125	0.13	1989.772727	0.478388153	4.387000545	2.33E+04
20090819	23:01:00	20	38.4636	-73.2999	6.2	78.734	82.714	-999.000	0.025753138	0.085188881	0.055722649	0.023901288	0.014865038	09-2019	0.160	0.015	0.017	0.017	0.007	0.024	0.001	0.009	0.001	0.014	0.010	0.101	0.091	0.066	0.004	0.007	0.008	0.012	0.005	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.192	0.129	0.055	0.247	0.184	0.216	0.376	0.172	1.35	0.30	0.70	1.04	0.34	0.66	0.43	0.14	0.19	0.67	-999.00	0.05	0.08	7.33	-777.00	0.8025	0.12	2058.409091	0.283110768	11.68963833	1.11E+05
20090819	23:01:00	20	38.4636	-73.2999	6.2	-999	-999	-999	-999	-999	-999	-999	-999	09-2129	0.148	0.012	0.017	0.016	0.007	0.023	0.001	0.008	0.001	0.018	0.006	0.092	0.086	0.057	0.004	0.005	0.007	0.011	0.006	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.177	0.118	0.054	0.231	0.172	0.201	0.349	0.159	1.36	0.31	0.69	1.03	0.34	0.66	0.42	0.15	0.19	0.65	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.0	-999	-999	-999
20090819	22:59:00	20	38.4636	-73.2999	39.1	68.584	381.094	63.952	0.015798193	0.223584591	0.156617238	0.105097476	0.066469963	09-2020	3.798	0.240	1.146	0.119	0.254	1.266	0.038	0.225	0.001	0.308	0.906	0.077	3.716	0.001	0.082	0.206	0.034	0.645	0.501	0.001	0.020	0.020	0.044	0.048	0.080	0.001	5.184	0.459	2.734	7.918	3.193	4.579	8.377	3.089	1.21	0.86	0.14	1.62	0.05	0.95	0.45	0.39	0.50	0.10	-999.00	0.08	0.21	4.80	0.53	0.72	2.66	2134.318182	0.926825147	18.05945357	1.28E+05
20090820	11:19:00	25	37.8549	-74.6421	2.6	93.225	73.109	28.418	0.022302976	0.27909138	0.169135789	0.099944896	0.058392813	09-2021	0.171	0.009	0.026	0.013	0.004	0.021	0.001	0.013	0.002	0.033	0.011	0.032	0.165	0.001	0.006	0.009	0.001	0.016	0.010	0.001	0.001	0.002	0.004	0.009	0.001	0.001	0.206	0.061	0.069	0.275	0.130	0.165	0.336	0.111	0.96	0.53	0.47	1.58	0.18	0.82	0.51	0.40	0.23	0.37	0.04	0.00	0.14	5.79	0.59	0.758	0.19	1950.113636	0.803273623	8.999990527	2.57E+04
20090820	11:19:00	25	37.8549	-74.6421	2.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	0.813894179	8.35624871	-999
20090820	11:17:00	25	37.8549	-74.6421	6.1	102.279	88.847	17.328	0.022482738	0.274468685	0.166520006	0.099851804	0.055493078	09-2022	0.170	0.008	0.025	0.013	0.005	0.021	0.001	0.012	0.002	0.034	0.012	0.032	0.165	0.001	0.005	0.008	0.001	0.016	0.009	0.001	0.001	0.002	0.004	0.010	0.001	0.001	0.203	0.060	0.072	0.275	0.132	0.165	0.335	0.113	0.97	0.55	0.45	1.54	0.18	0.82	0.51	0.41	0.24	0.35	-777.00	-777.00	-777.00	3.39	0.44	1.236	0.18	2018.863636	0.824377635	7.790964448	1.74E+04
20090820	11:17:00	25	37.8549	-74.6421	6.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	0.544104949	3.759570125	-999
20090820	11:14:00	25	37.8549	-74.6421	28.3	85.709	266.021	48.628	0.018260787	0.398764114	0.253960753	0.160610921	0.086724981	09-2023	1.822	0.134	0.413	0.072	0.074	0.195	0.033	0.093	0.008	0.460	0.498	0.069	1.779	0.001	0.043	0.134	0.001	0.277	0.136	0.003	0.011	0.008	0.019	0.033	0.001	0.001	2.369	0.275	1.227	3.596	1.502	2.049	3.871	1.463	1.12	0.82	0.18	1.58	0.07	0.93	0.47	0.65	0.21	0.14	0.44	-777.00	0.07	3.51	-777.00	0.126	1.71	2092.386364	1.027754907	1.387564647	2.67E+04
20090820	11:14:00	25	37.8549	-74.6421	28.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0	-999.00	-999.0	1.383058502	2.090009037	-999.0
20090820	13:14:00	26	37.5985	-74.5479	0.0	118.699	158.471	25.010	0.018752783	0.561461734	0.35653549	0.215511673	0.12539665	09-2024	0.705	0.018	0.123	0.038	0.010	0.043	0.025	0.051	0.011	0.275	0.031	0.041	0.686	0.001	0.019	0.018	0.001	0.084	0.039	0.004	0.002	0.004	0.022	0.057	0.001	0.001	0.846	0.166	0.359	1.205	0.525	0.666	1.371	0.443	0.94	0.68	0.32	1.61	0.12	0.88	0.51	0.69	0.18	0.13	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0	-999.00	-999.0	-999.0	-999	-999.0
20090820	16:20:00	28	37.5160	-74.9743	3.2	-999	114.513	24.078	0.019462641	0.526555006	0.333996509	0.200444334	0.120298552	09-2025	0.309	0.010	0.024	0.028	0.004	0.017	0.003	0.024	0.005	0.048	0.013	0.127	0.305	0.001	0.004	0.010	0.001	0.016	0.008	0.002	0.001	0.003	0.006	0.001	0.001	0.001	0.343	0.187	0.082	0.425	0.269	0.303	0.612	0.222	0.98	0.30	0.70	1.28	0.31	0.69	0.50	0.27	0.11	0.62	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.0	-999.0	-999	-999.0
20090820	16:18:00	28	37.5160	-74.9743	6.5	113.952	120.018	23.713	0.019375657	0.525997413	0.336064452	0.201627018	0.11904408	09-2026	0.321	0.020	0.025	0.029	0.004	0.018	0.002	0.024	0.004	0.044	0.013	0.129	0.317	0.001	0.004	0.020	0.001	0.016	0.009	0.003	0.002	0.003	0.006	0.003	0.001	0.001	0.366	0.188	0.079	0.445	0.267	0.312	0.633	0.230	0.97	0.30	0.70	1.37	0.30	0.70	0.51	0.25	0.10	0.65	0.48	-0.09	-0.02	6.50	1.00	0.5935	0.28	-999.0	0.555216356	-999	1.38E+05
