/begin_header
/received=20140411
/affiliations=NASA_GSFC,NASA_GSFC/SSAI,NASA_GSFC/SSAI,NASA_GSFC/SSAI
/investigators=Antonio_Mannino,Scott_Freeman,Aimee_Neeley,Mike_Novak
/contact=aimee.neeley@nasa.gov
!/experiment=ECOMon
/experiment=ECOMON
!/cruise=ECO1
/cruise=PC1301
/station=NA
/data_file_name=ECO1_pigments_2013.csv
/documents=ECOMon_CruiseReport_final.pdf,POCanalysis_ECOMON.doc,DOM_analysis_ECOMON.doc
/calibration_files=Van_Heukelem_and_Thomas_2001
/data_type=pigment
/data_status=preliminary
/start_date=20130210
/end_date=20130225
/start_time=22:05:00[GMT]
/end_time=22:57:00[GMT]
/north_latitude=43.76[DEG]
/south_latitude=36.67[DEG]
/east_longitude=-67.68[DEG]
/west_longitude=-75.48[DEG]
/measurement_depth=NA
/water_depth=NA
!
!COMMENTS
!Samples were collected from the CTD rosette or shipboard clean seawater system
!Samples were filtered under vacuum (~5-7psi) onto 25mm GF/F filters
!Samples were stored at -80C prior to analysis
!Original file name for HPLC pigments: Mannino 02-18 report.xlsx
!Samples were collected in conjunction with AOP and IOP deployments
!Units for DOC are umol/L and not in umol/kg
! "size_fractionation" field: 20um and 3um Polycap filters were used to filter water samples. Values of 20 and 3 refer to the filter size used on the corresponding row of data.
!Values listed as -111 are below the detection limit of 0.001 mg/m^3 for HPLC pigments
!
/below_detection_limit=-111
/missing=-999
/delimiter=comma
/fields=date,time,station,lat,lon,depth,water_depth,DOC,POC,PN,size_fraction,Tot_Chl_a,Tot_Chl_a_sd,Tot_Chl_b,Tot_Chl_b_sd,Tot_Chl_c,Tot_Chl_c_sd,alpha-beta-Car,alpha-beta-Car_sd,But-fuco,But-fuco_sd,Hex-fuco,Hex-fuco_sd,Allo,Allo_sd,Diadino,Diadino_sd,Diato,Diato_sd,Fuco,Fuco_sd,Perid,Perid_sd,Zea,Zea_sd,MV_Chl_a,MV_Chl_a_sd,DV_Chl_a,DV_Chl_a_sd,Chlide_a,Chlide_a_sd,MV_Chl_b,MV_Chl_b_sd,DV_Chl_b,DV_Chl_b_sd,Chl_c1c2,Chl_c1c2_sd,Chl_c3,Chl_c3_sd,Lut,Lut_sd,Neo,Neo_sd,Viola,Viola_sd,Phytin_a,Phytin_a_sd,Phide_a,Phide_a_sd,Pras,Pras_sd,Gyro,Gyro_sd
20130211,20:37:00,15,37.53163833,-75.29177333,10.1,23.68,-999,360.7365432,72.53174561,-999,7.228,0.223,0.212,0.001414214,1.1,0.038890873,0.195,0.010606602,0.025,0.000707107,0.017,0,0.055,0,0.403,0.021213203,0.012,0.000707107,2.568,0.130107648,0.458,0.006363961,0.007,0,7.203,0.223445743,-111,-999,0.025,0,0.212,0.001414214,-111,-999,1.065,0.033234019,0.035,0.005656854,0.005,0,0.032,0,0.03,0.000707107,0.077,0.004949747,0.136,0,0.02,0,-111,-999
20130211,20:37:00,15,37.53163833,-75.29177333,4,23.68,-999,-999,-999,-999,7.064,0.116,0.208,0,1.091,0.007071068,0.192,0.003535534,0.024,0.000707107,0.015,0,0.054,0,0.401,0.003535534,0.012,0.000707107,2.456,0.085559921,0.482,0.033941125,0.008,0.000707107,7.04,0.116672619,-111,-999,0.025,0.000707107,0.208,0,-111,-999,1.056,0.006363961,0.036,0.000707107,0.005,0,0.03,0.000707107,0.03,0,0.074,0.000707107,0.124,0.003535534,0.021,0.000707107,-111,-999
20130211,20:37:00,15,37.53163833,-75.29177333,4.3,23.68,-999,-999,-999,3,0.24,-999,0.02,-999,0.045,-999,0.008,-999,0.009,-999,0.007,-999,0.006,-999,0.011,-999,-111,-999,0.08,-999,0.006,-999,0.002,-999,0.24,-999,-111,-999,-111,-999,0.02,-999,-111,-999,0.034,-999,0.011,-999,-111,-999,0.003,-999,0.002,-999,0.003,-999,-111,-999,0.006,-999,-111,-999
20130211,20:37:00,15,37.53163833,-75.29177333,4.3,23.68,-999,-999,-999,20,0.317,-999,0.072,-999,0.045,-999,0.013,-999,0.007,-999,0.005,-999,0.014,-999,0.016,-999,-111,-999,0.064,-999,0.02,-999,0.002,-999,0.317,-999,-111,-999,-111,-999,0.072,-999,-111,-999,0.035,-999,0.01,-999,0.001,-999,0.01,-999,0.007,-999,0.003,-999,-111,-999,0.011,-999,-111,-999
20130212,0:50:00,17,37.69986833,-74.25946167,20.5,100,64.7354498,60.03879733,12.59386464,-999,0.548,0.002,0.118,0,0.099,0.001414214,0.023,0,0.033,0,0.077,0,0.027,0,0.015,0.000707107,0.001,0,0.076,0.00212132,0.005,0,0.009,0,0.545,0.00212132,-111,-999,0.003,0,0.118,0,-111,-999,0.053,0.001414214,0.046,0,0.001,0,0.015,0.000707107,0.009,0,0.006,0,0.017,0.005656854,0.031,0,-111,-999
20130212,0:50:00,17,37.69986833,-74.25946167,2.4,100,65.76039508,59.6038877,11.283356,-999,0.531,0.00212132,0.119,0.000707107,0.096,0.001414214,0.023,0,0.033,0,0.077,0.001414214,0.026,0,0.014,0,0.001,0,0.072,0.000707107,0.006,0.000707107,0.009,0,0.528,0.00212132,-111,-999,0.003,0,0.119,0.000707107,-111,-999,0.051,0.000707107,0.046,0.000707107,0.001,0,0.015,0,0.009,0,0.006,0,0.014,0.000707107,0.031,0,-111,-999
20130212,13:35:00,25,38.80718667,-74.55068167,21.1,20.5,92.11951987,391.8342875,71.26134595,-999,4.571,0.201525433,0.108,0,0.655,0.060811183,0.144,0.003535534,0.031,0,0.021,0.000707107,0.138,0.000707107,0.226,0.013435029,0.017,0.000707107,1.711,0.142128463,0.224,0.001414214,0.013,0.000707107,4.468,0.20647518,-111,-999,0.103,0.004949747,0.108,0,-111,-999,0.599,0.050204581,0.057,0.010606602,0.003,0.000707107,-111,0,0.018,0,0.089,0.000707107,0.274,0.028284271,0.013,0,-111,-999
20130212,13:35:00,25,38.80718667,-74.55068167,4.1,20.5,83.48636299,237.6155917,48.25032217,-999,3.99,0.074953319,0.11,0,0.608,0.004949747,0.12,0.001414214,0.017,0.000707107,0.011,0.000707107,0.137,0.000707107,0.213,0.010606602,0.009,0,1.319,0.050911688,0.243,0.009192388,0.007,0,3.968,0.073539105,-111,-999,0.022,0.001414214,0.11,0,-111,-999,0.571,0.005656854,0.037,0.000707107,0.003,0,0.01,0,0.018,0,0.046,0.001414214,0.075,0.001414214,0.011,0.000707107,-111,-999
20130212,13:35:00,25,38.80718667,-74.55068167,4.1,20.5,-999,-999,-999,3,0.07,-999,0.004,-999,0.013,-999,0.002,-999,0.002,-999,0.001,-999,0.004,-999,0.003,-999,-111,-999,0.022,-999,0.002,-999,0.001,-999,0.07,-999,-111,-999,-111,-999,0.004,-999,-111,-999,0.01,-999,0.003,-999,-111,-999,-111,-999,-111,-999,0.002,-999,-111,-999,0.001,-999,-111,-999
20130212,13:35:00,25,38.80718667,-74.55068167,4.1,20.5,-999,-999,-999,20,0.334,-999,0.041,-999,0.05,-999,0.014,-999,0.005,-999,0.004,-999,0.032,-999,0.015,-999,0.001,-999,0.058,-999,0.027,-999,0.002,-999,0.332,-999,-111,-999,0.002,-999,0.041,-999,-111,-999,0.04,-999,0.01,-999,0.001,-999,0.003,-999,0.005,-999,0.002,-999,-111,-999,0.006,-999,-111,-999
20130212,15:29:00,25.1,38.68766833,-74.12835833,4,44.3,81.65408398,133.0503523,24.97681025,-999,1.33,0.023334524,0.067,0.000707107,0.208,0.001414214,0.047,0.00212132,0.018,0.000707107,0.027,0.000707107,0.06,0,0.088,0.001414214,0.016,0.001414214,0.424,0.014142136,0.082,0.001414214,0.009,0.000707107,1.303,0.033234019,-111,-999,0.027,0.009899495,0.067,0.000707107,-111,-999,0.164,0.002828427,0.044,0.001414214,0.003,0,0.005,0.001414214,0.009,0,0.016,0.000707107,0.05,0.002828427,0.011,0.000707107,-111,-999
20130212,18:38:00,26,38.55561,-73.73618667,15.2,56.4,72.78202921,104.2194226,18.62321081,-999,0.788,0.000707107,0.081,0,0.132,0.001414214,0.03,0,0.017,0,0.048,0.000707107,0.036,0,0.053,0.000707107,0.006,0.000707107,0.242,0.000707107,0.025,0.001414214,0.005,0,0.781,0.001414214,-111,-999,0.007,0.000707107,0.081,0,-111,-999,0.084,0,0.048,0.001414214,0.003,0,0.011,0,0.011,0,0.009,0.000707107,0.027,0.00212132,0.02,0,-111,-999
20130212,18:38:00,26,38.55561,-73.73618667,4.3,56.4,76.57899123,97.01178824,17.3574788,-999,0.741,0.022627417,0.077,0.001414214,0.125,0.002828427,0.028,0.000707107,0.017,0.000707107,0.047,0.000707107,0.036,0.000707107,0.055,0.002828427,0.007,0,0.224,0.007071068,0.021,0.002828427,0.005,0,0.735,0.024041631,-111,-999,0.006,0.001414214,0.077,0.001414214,-111,-999,0.079,0.002828427,0.046,0,0.003,0,0.011,0,0.011,0.000707107,0.008,0,0.023,0,0.019,0,-111,-999
20130212,23:05:00,28,38.85340667,-73.14263833,4,71,-999,-999,-999,-999,0.543,0.00212132,0.128,0.000707107,0.095,0,0.021,0,0.028,0.000707107,0.062,0,0.016,0,0.02,0,0.002,0.000707107,0.113,0.000707107,0.007,0.000707107,0.01,0.000707107,0.539,0.003535534,-111,-999,0.004,0.001414214,0.128,0.000707107,-111,-999,0.051,0,0.044,0,0.002,0,0.016,0.000707107,0.013,0,0.006,0,0.016,0.001414214,0.033,0,-111,-999
20130212,23:05:00,28,38.85340667,-73.14263833,5,71,66.74111284,62.14545687,10.96112573,-999,0.532,0.033234019,0.126,0.004242641,0.094,0.005656854,0.022,0.00212132,0.028,0.000707107,0.063,0.003535534,0.019,0.002828427,0.02,0.001414214,0.002,0,0.099,0.007071068,0.005,0.000707107,0.011,0.000707107,0.527,0.033941125,-111,-999,0.005,0.000707107,0.126,0.004242641,-111,-999,0.05,0.003535534,0.045,0.00212132,0.002,0,0.016,0.000707107,0.014,0.000707107,0.006,0.000707107,0.017,0.00212132,0.033,0.000707107,-111,-999
20130212,23:05:00,28,38.85340667,-73.14263833,21,71,63.42712438,64.12336071,11.58902609,-999,0.525,0.027577164,0.125,0.000707107,0.091,0.005656854,0.021,0.000707107,0.027,0.000707107,0.062,0.002828427,0.018,0.002828427,0.021,0.000707107,0.001,0,0.099,0.003535534,0.005,0,0.01,0.000707107,0.521,0.026162951,-111,-999,0.004,0.001414214,0.125,0.000707107,-111,-999,0.049,0.003535534,0.043,0.00212132,0.002,0.000707107,0.016,0.000707107,0.013,0,0.005,0,0.016,0.000707107,0.033,0.000707107,-111,-999
20130213,14:50:00,36,39.80841333,-73.00151167,4,67.93,70.19508113,90.1281174,17.24315464,-999,1.003,0.014142136,0.141,0.000707107,0.159,0,0.039,0,0.025,0,0.078,0,0.049,0,0.052,0.001414214,0.008,0,0.252,0.007071068,0.017,0.001414214,0.012,0.000707107,0.995,0.015556349,-111,-999,0.008,0.001414214,0.141,0.000707107,-111,-999,0.102,0.001414214,0.057,0.001414214,0.005,0,0.019,0.000707107,0.015,0,0.012,0.000707107,0.028,0,0.034,0.000707107,-111,-999
20130213,17:45:00,37,39.58170667,-73.16186167,4,36.9,92.50657052,-999,-999,-999,2.587,0.080610173,0.062,0.001414214,0.371,0.013435029,0.071,0.00212132,0.011,0.000707107,0.035,0,0.032,0.000707107,0.194,0.010606602,0.019,0,1.068,0.045254834,0.08,0.001414214,0.006,0,2.519,0.084145707,-111,-999,0.069,0.003535534,0.062,0.001414214,-111,-999,0.309,0.009899495,0.062,0.003535534,0.003,0,0.011,0.000707107,0.013,0.000707107,0.028,0.000707107,0.077,0.000707107,0.011,0.000707107,-111,-999
20130213,19:48:00,38,39.249475,-73.04642833,4,65.4,73.10850754,173.8079198,31.98390118,-999,2.385,0.140007143,0.108,0.001414214,0.338,0.016970563,0.068,0.004242641,0.017,0.001414214,0.049,0.000707107,0.037,0.001414214,0.124,0.009899495,0.011,0,0.959,0.072831998,0.035,0,0.007,0.000707107,2.314,0.127986327,-111,-999,0.072,0.012020815,0.108,0.001414214,-111,-999,0.271,0.014849242,0.068,0.00212132,0.004,0,0.012,0,0.016,0,0.026,0.000707107,0.069,0.000707107,0.018,0,-111,-999
20130213,22:04:00,40,39.35320667,-73.390765,4,43.4,88.79125895,141.3807729,26.04854564,-999,2.043,0.002828427,0.086,0.001414214,0.32,0.000707107,0.064,0.000707107,0.017,0,0.042,0,0.03,0,0.107,0.001414214,0.008,0,0.841,0,0.049,0.000707107,0.004,0,1.994,0.015556349,-111,-999,0.049,0.012727922,0.086,0.001414214,-111,-999,0.243,0.000707107,0.077,0,0.003,0,0.007,0.000707107,0.014,0,0.026,0.00212132,0.067,0.000707107,0.012,0,-111,-999
20130214,14:00:00,49,40.33194,-73.50601333,4,25.21,89.98057175,203.4496607,40.9508066,-999,1.943,0.010606602,0.086,0.000707107,0.277,0,0.072,0,0.017,0.000707107,0.016,0.000707107,0.089,0,0.125,0.000707107,0.017,0,0.562,0.006363961,0.158,0.007071068,0.008,0,1.922,0.009192388,-111,-999,0.021,0.001414214,0.086,0.000707107,-111,-999,0.248,0,0.029,0,0.005,0,0.006,0,0.014,0,0.022,0,0.092,0.000707107,0.01,0,-111,-999
20130214,18:05:00,50,40.41174333,-72.80255333,4.3,39.6,88.7921483,128.6743667,23.37594461,-999,1.977,0.134350288,0.04,0.001414214,0.287,0.025455844,0.051,0.002828427,0.007,0,0.011,0,0.03,0.00212132,0.124,0.005656854,0.03,0.002828427,0.803,0.058689863,0.064,0.003535534,0.008,0.000707107,1.916,0.156270599,-111,-999,0.062,0.02192031,0.04,0.001414214,-111,-999,0.251,0.020506097,0.037,0.004949747,0.002,0,0.005,0.00212132,0.007,0,0.024,0.00212132,0.072,0.006363961,0.008,0.000707107,-111,-999
20130214,18:05:00,50,40.41174333,-72.80255333,18.5,39.6,84.50401989,152.6085472,29.72356589,-999,2.409,0.447598592,0.058,0.007071068,0.354,0.067882251,0.068,0.012020815,0.01,0.00212132,0.013,0.001414214,0.038,0.005656854,0.126,0.024041631,0.008,0.00212132,0.968,0.188090404,0.099,0.009192388,0.005,0.000707107,2.353,0.455376767,-111,-999,0.056,0.007778175,0.058,0.007071068,-111,-999,0.31,0.05939697,0.044,0.008485281,0.002,0.000707107,0.009,0.001414214,0.011,0.00212132,0.035,0.007071068,0.095,0.013435029,0.011,0.001414214,-111,-999
20130214,18:05:00,50,40.41174333,-72.80255333,4.3,39.6,88.7921483,-999,-999,3,0.045,-999,0.009,-999,0.006,-999,0.001,-999,0.001,-999,-111,-999,0.001,-999,0.002,-999,-111,-999,0.013,-999,-111,-999,0.002,-999,0.045,-999,-111,-999,-111,-999,0.009,-999,-111,-999,0.005,-999,0.001,-999,-111,-999,0.001,-999,0.002,-999,-111,-999,-111,-999,0.003,-999,-111,-999
20130214,18:05:00,50,40.41174333,-72.80255333,4.3,39.6,-999,-999,-999,20,0.12,-999,0.015,-999,0.016,-999,0.004,-999,0.002,-999,0.003,-999,0.011,-999,0.006,-999,0.001,-999,0.027,-999,0.002,-999,0.002,-999,0.12,-999,-111,-999,-111,-999,0.015,-999,-111,-999,0.012,-999,0.004,-999,0.001,-999,0.002,-999,0.003,-999,0.001,-999,-111,-999,0.004,-999,-111,-999
20130214,20:47:00,50.1,40.754405,-72.33960833,4,39.89,93.01266398,179.4317346,42.05965406,-999,2.002,0.028284271,0.091,0.000707107,0.248,0.003535534,0.079,0,0.01,0,0.013,0,0.104,0.001414214,0.182,0.004242641,0.038,0.00212132,0.616,0.009899495,0.13,0.00212132,0.011,0.000707107,1.985,0.026162951,-111,0,0.018,0.00212132,0.091,0.000707107,-111,-999,0.229,0.003535534,0.019,0,0.007,0,0.012,0,0.013,0,0.016,0,0.03,0,0.016,0,-111,-999
20130214,22:45:00,52,40.65089333,-72.18776833,24,46.32,86.16778631,130.2831014,25.39298229,-999,3.067,0.092630988,0.085,0.001414214,0.434,0.024748737,0.083,0.001414214,0.014,0.000707107,0.044,0.00212132,0.021,0.000707107,0.152,0.011313708,0.005,0.001414214,1.435,0.100409163,0.044,0.003535534,0.004,0,3.043,0.088388348,-111,0,0.024,0.004242641,0.085,0.001414214,-111,-999,0.392,0.023334524,0.042,0.001414214,0.001,0,0.011,0.000707107,0.011,0.000707107,0.031,0.002828427,0.049,0.013435029,0.025,0.000707107,-111,-999
20130214,22:45:00,52,40.65089333,-72.18776833,4.3,46.32,97.587274,189.5251698,30.16634742,-999,2.902,0.422849855,0.128,0.002828427,0.396,0.057982756,0.09,0.010606602,0.02,0.001414214,0.053,0.002828427,0.076,0.001414214,0.269,0.028991378,0.014,0,1.112,0.232638131,0.148,0,0.007,0,2.873,0.432042243,-111,0,0.03,0.009192388,0.128,0.002828427,-111,-999,0.352,0.060104076,0.045,0.00212132,0.009,0.000707107,0.015,0,0.027,0,0.026,0.004242641,0.024,0.000707107,0.029,0.00212132,-111,-999
20130215,15:30:00,57,39.83117667,-70.61110167,4.4,855,61.94369194,35.84655977,30.20895404,-999,0.247,0.001414214,0.046,0,0.058,0.000707107,0.009,0,0.038,0.001414214,0.044,0,0.008,0.000707107,0.018,0.000707107,0.004,0,0.039,0.000707107,0.002,0,0.006,0,0.241,0.001414214,0.005,0,0.001,0,0.046,0,-111,-999,0.026,0.000707107,0.032,0,0.001,0,0.005,0,0.004,0,0.003,0,0.011,0.001414214,0.013,0.000707107,-111,-999
20130215,15:30:00,57,39.83117667,-70.61110167,69.5,855,65.93051568,26.34620667,5.741969991,-999,0.271,0.000707107,0.054,0.000707107,0.065,0.001414214,0.011,0.000707107,0.042,0.001414214,0.049,0.000707107,0.007,0,0.01,0,0.001,0,0.044,0.000707107,0.002,0,0.005,0,0.264,0.000707107,0.005,0,0.002,0,0.054,0.000707107,-111,-999,0.031,0.000707107,0.035,0.000707107,0.001,7.07E-08,0.006,0,0.004,0,0.004,0,0.013,0,0.014,0.000707107,-111,-999
20130215,19:04:00,58,40.043125,-70.00773667,5,144,-999,127.3840079,-999,-999,1.489,0.058689863,0.127,0.001414214,0.224,0.006363961,0.053,0.00212132,0.023,0.000707107,0.042,0,0.052,0,0.129,0.003535534,0.016,0.000707107,0.424,0.032526912,0.187,0,0.01,0.000707107,1.481,0.057982756,-111,-999,0.008,0.000707107,0.127,0.001414214,-111,-999,0.162,0.007071068,0.062,0.000707107,0.007,0,0.015,0,0.023,0,0.013,0,0.028,0.001414214,0.033,0.000707107,-111,-999
20130215,19:04:00,58,40.043125,-70.00773667,36.3,144,-999,47.46997535,20.31392837,-999,1.123,0.013435029,0.085,0,0.179,0.00212132,0.035,0,0.02,0,0.037,0.000707107,0.011,0,0.041,0.000707107,0.003,0,0.462,0.007071068,0.052,0.000707107,0.004,0,1.119,0.013435029,-111,-999,0.004,0,0.085,0,-111,-999,0.108,0.001414214,0.071,0.000707107,0.001,0,0.009,0,0.008,0,0.015,0,0.034,0.001414214,0.025,0,-111,-999
20130215,19:04:00,58,40.043125,-70.00773667,5,144,-999,-999,-999,3,0.159,-999,0.051,-999,0.018,-999,0.006,-999,0.005,-999,0.003,-999,0.003,-999,0.007,-999,0.001,-999,0.029,-999,0.002,-999,0.003,-999,0.158,-999,-111,-999,0.001,-999,0.051,-999,-111,-999,0.012,-999,0.006,-999,0.001,-999,0.006,-999,0.011,-999,0.001,-999,-111,-999,0.018,-999,-111,-999
20130215,19:04:00,58,40.043125,-70.00773667,5,144,-999,-999,-999,20,0.358,-999,0.087,-999,0.052,-999,0.014,-999,0.013,-999,0.019,-999,0.02,-999,0.017,-999,0.002,-999,0.07,-999,0.002,-999,0.006,-999,0.357,-999,-111,-999,0.001,-999,0.087,-999,-111,-999,0.031,-999,0.021,-999,0.002,-999,0.011,-999,0.017,-999,0.003,-999,-111,-999,0.028,-999,-111,-999
20130215,23:18:00,59,40.163875,-69.56438333,4,87,-999,155.4944709,22.20088691,-999,1.144,0.050911688,0.09,0.000707107,0.162,0.005656854,0.041,0.000707107,0.013,0.000707107,0.015,0,0.048,0.000707107,0.096,0.00212132,0.009,0.000707107,0.276,0.024041631,0.19,0.001414214,0.006,0,1.136,0.050204581,-111,-999,0.009,0.000707107,0.09,0.000707107,-111,-999,0.135,0.004949747,0.028,0.000707107,0.005,0,0.011,0,0.019,0,0.011,0.000707107,0.028,0.000707107,0.021,0,-111,-999
