20100527	10:53:00	8	40.3548	-71.9178	26.4	-999	95.98	328.2544768	53.32514356	0.018389589	0.350706792	0.231254726	0.142895777	0.086682717	10-1240	2.885	0.409	0.600	0.119	0.032	0.214	0.166	0.143	0.001	0.484	0.665	0.029	2.859	0.001	0.026	0.409	0.001	0.383	0.217	0.002	0.052	0.029	0.034	0.094	0.001	0.001	3.894	0.457	1.395	5.289	1.852	2.861	5.746	1.999	0.99	0.75	0.25	2.10	0.08	0.92	0.50	0.57	0.21	0.22	0.41	0.19	0.29	0.28	0.74	1.93	1.1389	1.4034
20100527	16:34:00	11	40.0258	-72.2221	3.1	80	78.31	209.7734845	26.93221106	0.020973076	0.285696471	0.181958599	0.102917723	0.06154204	10-1241	0.474	0.033	0.059	0.030	0.012	0.040	0.029	0.049	0.007	0.031	0.074	0.092	0.467	0.001	0.007	0.033	0.001	0.044	0.015	0.002	0.004	0.007	0.005	0.001	0.001	0.001	0.566	0.207	0.157	0.723	0.364	0.456	0.930	0.311	0.96	0.43	0.57	1.55	0.22	0.78	0.51	0.34	0.26	0.40	0.19	0.07	0.09	0.15	0.16	0.49	1.0810	3.3540
20100527	16:33:00	11	40.0258	-72.2221	26.8	-999	85.56	277.9721	41.90611409	0.019378499	0.318282064	0.207360718	0.123053653	0.073982001	10-1242	1.172	0.220	0.177	0.051	0.008	0.060	0.026	0.073	0.007	0.098	0.416	0.065	1.159	0.001	0.013	0.220	0.001	0.139	0.038	0.002	0.025	0.021	0.011	0.036	0.001	0.001	1.569	0.222	0.582	2.151	0.804	1.201	2.373	0.893	1.02	0.72	0.28	1.95	0.09	0.91	0.49	0.58	0.11	0.32	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100527	16:29:00	11	40.0258	-72.2221	32	-999	83.92	349.6033241	45.44925946	0.018778794	0.303469784	0.205130303	0.125150541	0.074357374	10-1243	1.351	0.151	0.231	0.049	0.004	0.075	0.020	0.098	0.001	0.068	0.813	0.032	1.333	0.001	0.018	0.151	0.001	0.199	0.032	0.001	0.016	0.012	0.014	0.059	0.001	0.001	1.733	0.199	0.960	2.693	1.159	1.541	2.892	1.163	1.14	0.83	0.17	1.50	0.07	0.93	0.47	0.76	0.09	0.16	0.15	0.05	0.10	0.36	0.26	1.04	0.7042	4.4273
20100527	22:31:00	14	39.7286	-72.5373	3.3	78.3	85.07	200.3067046	25.32114877	0.020598131	0.271178479	0.171919807	0.101556106	0.059054928	10-1244	0.381	0.032	0.061	0.022	0.015	0.060	0.022	0.041	0.005	0.029	0.049	0.059	0.372	0.001	0.009	0.032	0.001	0.041	0.020	0.002	0.004	0.007	0.003	0.001	0.001	0.001	0.474	0.149	0.153	0.627	0.302	0.395	0.776	0.266	1.04	0.51	0.49	1.57	0.19	0.81	0.49	0.29	0.36	0.34	0.18	0.38	0.40	0.28	0.21	0.23	0.8907	0.4621
20100527	22:30:00	14	39.7286	-72.5373	17	78.3	75.67	382.8702076	65.66326347	0.01931037	0.282582207	0.18371546	0.111246582	0.064681219	10-1245	1.193	0.202	0.242	0.056	0.055	0.124	0.073	0.061	0.009	0.180	0.158	0.048	1.170	0.001	0.023	0.202	0.001	0.152	0.090	0.004	0.021	0.021	0.011	0.027	0.001	0.001	1.637	0.247	0.517	2.154	0.764	1.208	2.401	0.840	1.01	0.68	0.32	2.14	0.10	0.90	0.50	0.40	0.30	0.30	0.25	0.14	0.20	0.29	0.26	0.85	2.4673	0.2935
20100527	22:29:00	14	39.7286	-72.5373	25.2	78.3	76.89	315.9455826	50.60884216	0.018919897	0.273493043	0.180252652	0.1120211	0.062225957	10-1246	2.536	0.278	0.629	0.096	0.058	0.217	0.182	0.096	0.009	0.657	0.311	0.029	2.479	0.001	0.057	0.278	0.001	0.355	0.274	0.003	0.031	0.022	0.031	0.058	0.001	0.001	3.443	0.412	1.243	4.686	1.655	2.562	5.098	1.732	1.01	0.75	0.25	2.08	0.08	0.92	0.50	0.56	0.26	0.18	0.56	0.37	0.37	0.37	0.21	2.11	2.5198	0.2267
20100527	22:29:00	14	39.7286	-72.5373	25.2	78.3	-999.00	-999	-999	-999	-999	-999	-999	-999	10-1247	2.589	0.281	0.641	0.099	0.058	0.216	0.183	0.099	0.007	0.662	0.330	0.027	2.541	0.001	0.048	0.281	0.001	0.360	0.281	0.002	0.029	0.022	0.033	0.059	0.001	0.001	3.511	0.415	1.266	4.777	1.681	2.603	5.192	1.757	1.01	0.75	0.25	2.09	0.08	0.92	0.50	0.56	0.26	0.18	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100528	10:45:00	20	39.0611	-73.3187	2.7	64	82.32	205.3155431	33.3580593	0.02206438	0.24878477	0.156094303	0.085611184	0.049762938	10-1248	0.501	0.012	0.072	0.030	0.016	0.066	0.041	0.040	0.003	0.055	0.014	0.051	0.496	0.001	0.005	0.012	0.001	0.048	0.024	0.001	0.002	0.006	0.005	0.001	0.001	0.001	0.585	0.165	0.151	0.736	0.316	0.400	0.901	0.255	0.80	0.48	0.52	1.85	0.18	0.82	0.56	0.27	0.48	0.25	0.23	0.18	0.33	0.19	0.74	0.42	1.7114	2.1031
20100528	10:43:00	20	39.0611	-73.3187	13.3	64	83.48	221.5949	40.7706391	0.020950261	0.274539552	0.174725056	0.099200891	0.057174488	10-1424	0.460	0.019	0.074	0.030	0.017	0.084	0.031	0.036	0.005	0.066	0.028	0.077	0.455	0.001	0.005	0.019	0.001	0.044	0.030	0.001	0.003	0.006	0.004	0.005	0.001	0.001	0.553	0.179	0.195	0.748	0.374	0.467	0.927	0.322	1.02	0.52	0.48	1.48	0.19	0.81	0.50	0.29	0.41	0.30	1.54	0.16	0.79	0.21	0.46	0.37	0.7621	0.7698
20100528	10:39:00	20	39.0611	-73.3187	29.4	64	85.90	277.2930354	49.05507821	0.017906653	0.308041009	0.203311632	0.127227954	0.078977072	10-1249	3.120	0.175	0.754	0.089	0.017	0.068	0.031	0.092	0.009	1.393	0.121	0.053	3.046	0.001	0.074	0.175	0.001	0.431	0.323	0.001	0.021	0.014	0.032	0.141	0.011	0.001	4.049	0.274	1.599	5.648	1.873	2.802	5.922	1.858	0.90	0.85	0.15	2.16	0.05	0.95	0.53	0.81	0.06	0.12	1.33	0.14	0.75	0.34	0.35	1.95	1.8021	0.5081
20100528	15:01:00	22	38.5625	-73.2068	325	330	55.01	-999	-999	0.018500263	0.090627703	0.063516371	0.041692355	0.026919154	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100528	18:27:00	23	38.5151	-73.6930	2.8	66	87.87	192.6577174	27.13048569	0.021073526	0.272699887	0.171523849	0.095890169	0.058955902	10-1250	0.404	0.011	0.069	0.021	0.016	0.075	0.032	0.065	0.012	0.045	0.025	0.029	0.396	0.001	0.008	0.011	0.001	0.042	0.027	0.001	0.002	0.004	0.004	0.001	0.001	0.001	0.484	0.159	0.161	0.645	0.320	0.400	0.804	0.233	0.99	0.50	0.50	1.51	0.20	0.80	0.50	0.30	0.53	0.17	0.07	0.09	0.11	0.20	0.23	0.31	0.9628	0.4262
20100528	18:25:00	23	38.5151	-73.6930	20.2	66	83.02	194.8568754	31.06164602	0.019900523	0.30831401	0.196874257	0.114627748	0.066476589	10-1251	0.557	0.048	0.096	0.032	0.013	0.073	0.015	0.039	0.003	0.083	0.086	0.082	0.549	0.001	0.009	0.048	0.001	0.060	0.036	0.001	0.005	0.007	0.006	0.008	0.001	0.001	0.701	0.171	0.255	0.956	0.426	0.570	1.127	0.400	1.02	0.60	0.40	1.65	0.15	0.85	0.49	0.42	0.25	0.33	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100528	18:25:00	23	38.5151	-73.6930	20.2	66	-999	-999	-999	-999	-999	-999	-999	-999	10-1252	0.566	0.048	0.092	0.032	0.013	0.075	0.014	0.038	0.006	0.084	0.085	0.089	0.559	0.001	0.007	0.048	0.001	0.057	0.035	0.001	0.005	0.007	0.006	0.008	0.001	0.001	0.706	0.179	0.257	0.963	0.436	0.576	1.142	0.408	1.02	0.59	0.41	1.62	0.16	0.84	0.50	0.41	0.25	0.34	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100528	18:22:00	23	38.5151	-73.6930	28.5	66	79.60	250.3362228	36.07103684	0.018273208	0.283796878	0.189489302	0.121256485	0.073596435	10-1253	1.695	0.224	0.336	0.064	0.020	0.095	0.033	0.094	0.006	0.383	0.436	0.064	1.669	0.001	0.026	0.224	0.001	0.213	0.123	0.001	0.024	0.018	0.018	0.064	0.001	0.001	2.255	0.261	0.934	3.189	1.195	1.755	3.450	1.255	1.04	0.78	0.22	1.89	0.08	0.92	0.49	0.65	0.12	0.23	2.46	0.20	0.64	0.39	0.41	1.15	0.6140	0.4805
20100528	22:52:00	24	38.4428	-74.4452	3.3	43	98.96	299.6303	45.86036317	0.020900058	0.332316149	0.212474023	0.120111942	0.072685459	10-1254	0.788	0.016	0.113	0.051	0.007	0.130	0.063	0.068	0.009	0.057	0.060	0.156	0.779	0.001	0.009	0.016	0.001	0.071	0.042	0.001	0.002	0.003	0.007	0.007	0.001	0.001	0.917	0.347	0.254	1.171	0.601	0.730	1.518	0.489	0.93	0.42	0.58	1.53	0.23	0.77	0.52	0.24	0.41	0.35	-999.00	-999.00	0.23	0.18	0.27	0.58	2.2478	4.3090
20100528	22:51:00	24	38.4428	-74.4452	11.6	43	97.82	277.6755	41.79851419	0.020853671	0.341205765	0.214199351	0.12328543	0.072982809	10-1255	0.653	0.018	0.100	0.049	0.006	0.139	0.031	0.064	0.009	0.051	0.054	0.181	0.643	0.001	0.010	0.018	0.001	0.058	0.042	0.001	0.002	0.003	0.007	0.010	0.001	0.001	0.771	0.334	0.250	1.021	0.584	0.702	1.355	0.480	1.08	0.43	0.57	1.32	0.25	0.75	0.48	0.22	0.37	0.41	-999.00	-999.00	0.18	0.20	0.38	0.44	1.2686	3.8490
20100528	22:47:00	24	38.4428	-74.4452	22.3	43	84.08	341.4713	56.90779545	0.017334075	0.440146105	0.299212692	0.194269476	0.109935998	10-1256	3.991	0.046	0.747	0.102	0.006	0.006	0.109	0.090	0.006	1.433	0.089	0.015	3.751	0.001	0.240	0.046	0.001	0.555	0.192	0.003	0.005	0.005	0.077	0.316	0.001	0.001	4.784	0.322	1.534	6.318	1.856	2.649	6.640	1.704	0.66	0.83	0.17	2.58	0.05	0.95	0.60	0.89	0.07	0.04	-999.00	-999.00	0.31	0.36	0.23	2.98	1.7633	0.8605
20100529	10:50:00	30	37.3372	-74.5958	3	94	83.47	191.3382951	30.43491431	0.021515966	0.254727924	0.159045862	0.093280925	0.051291875	10-1257	0.768	0.008	0.107	0.040	0.023	0.086	0.078	0.063	0.005	0.088	0.027	0.023	0.757	0.001	0.010	0.008	0.001	0.070	0.037	0.001	0.001	0.003	0.007	0.004	0.001	0.001	0.883	0.209	0.224	1.107	0.433	0.548	1.316	0.333	0.71	0.52	0.48	2.04	0.16	0.84	0.58	0.35	0.56	0.09	-999.00	-999.00	0.23	0.25	0.25	0.50	3.1847	14.2484
20100529	10:50:00	30	37.3372	-74.5958	3	94	-999	-999	-999	-999	-999	-999	-999	-999	10-1258	0.786	0.008	0.112	0.040	0.024	0.086	0.080	0.062	0.006	0.091	0.026	0.025	0.777	0.001	0.009	0.008	0.001	0.073	0.039	0.001	0.001	0.003	0.007	0.004	0.001	0.001	0.906	0.213	0.227	1.133	0.440	0.560	1.346	0.340	0.71	0.52	0.48	2.06	0.16	0.84	0.58	0.34	0.56	0.10	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	10:48:00	30	37.3392	-74.5958	18.7	94	82.68	275.0419679	41.09604213	0.019777788	0.312120422	0.20216852	0.122272708	0.067419216	10-1259	0.809	0.030	0.189	0.036	0.028	0.173	0.017	0.097	0.008	0.234	0.059	0.048	0.786	0.001	0.023	0.030	0.001	0.093	0.096	0.001	0.004	0.006	0.009	0.017	0.001	0.001	1.028	0.206	0.494	1.522	0.700	0.919	1.728	0.589	1.14	0.71	0.29	1.47	0.12	0.88	0.47	0.50	0.37	0.13	-999.00	-999.00	0.29	0.10	0.27	0.71	1.5087	0.4302
20100529	10:43:00	30	37.3392	-74.5958	24.5	94	81.09	410.2702745	62.38398875	0.018364703	0.312681983	0.210210797	0.134694739	0.075130979	10-1260	2.632	0.096	0.736	0.073	0.024	0.207	0.018	0.179	0.016	1.383	0.152	0.019	2.451	0.001	0.181	0.096	0.001	0.380	0.356	0.001	0.012	0.010	0.026	0.110	0.001	0.001	3.464	0.305	1.766	5.230	2.071	2.903	5.535	1.899	1.10	0.85	0.15	1.67	0.06	0.94	0.48	0.81	0.13	0.06	-999.00	-999.00	0.09	0.33	0.18	2.24	1.3096	1.4504
20100529	14:02:00	30A	37.0201	-75.0920	0	-999	94.21	163.0952034	23.44829692	0.020711587	0.357283339	0.225158682	0.129150937	0.072810485	10-1261	0.539	0.033	0.102	0.030	0.021	0.101	0.012	0.094	0.011	0.118	0.035	0.026	0.530	0.001	0.009	0.033	0.001	0.057	0.045	0.001	0.005	0.013	0.019	0.002	0.001	0.001	0.674	0.173	0.275	0.949	0.448	0.583	1.122	0.346	1.08	0.61	0.39	1.50	0.15	0.85	0.48	0.44	0.39	0.17	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	16:15:00	31	36.8123	-75.3733	2.6	24	97.67	199.0378257	27.63546146	0.0213715	0.325384195	0.203419925	0.115506898	0.064212939	10-1262	0.553	0.023	0.104	0.030	0.027	0.096	0.007	0.086	0.011	0.113	0.050	0.033	0.539	0.006	0.008	0.023	0.001	0.065	0.039	0.001	0.003	0.012	0.007	0.003	0.001	0.001	0.680	0.167	0.286	0.966	0.453	0.580	1.133	0.349	1.05	0.63	0.37	1.50	0.15	0.85	0.49	0.47	0.37	0.16	-999.00	-999.00	0.09	0.19	0.66	0.45	2.2508	35.2493
20100529	16:13:00	31	36.8123	-75.3733	9.2	24	95.69	228.1340129	31.83715443	0.020902286	0.34163656	0.213917331	0.122829743	0.073539382	10-1263	0.754	0.055	0.156	0.041	0.033	0.141	0.013	0.074	0.009	0.143	0.073	0.047	0.743	0.001	0.011	0.055	0.001	0.101	0.055	0.002	0.006	0.015	0.008	0.003	0.001	0.001	0.965	0.184	0.390	1.355	0.574	0.785	1.539	0.505	1.04	0.68	0.32	1.68	0.12	0.88	0.49	0.43	0.37	0.20	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	16:13:00	31	36.8123	-75.3733	9.2	24	-999	-999	-999	-999	-999	-999	-999	-999	10-1264	0.755	0.056	0.155	0.042	0.033	0.142	0.013	0.075	0.009	0.144	0.075	0.046	0.747	0.001	0.008	0.056	0.001	0.100	0.055	0.002	0.005	0.015	0.008	0.003	0.001	0.001	0.966	0.185	0.394	1.360	0.579	0.790	1.545	0.509	1.05	0.68	0.32	1.67	0.12	0.88	0.49	0.43	0.37	0.20	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	16:10:00	31	36.8123	-75.3733	19.2	24	95.39	417.7975935	63.77064958	0.018213691	0.507920603	0.333100907	0.207957818	0.118844284	10-1265	3.327	0.217	0.970	0.131	0.001	0.742	0.083	0.183	0.001	0.946	0.310	0.100	3.289	0.001	0.038	0.208	0.009	0.482	0.488	0.007	0.025	0.026	0.046	0.083	0.001	0.001	4.514	0.497	1.998	6.512	2.495	3.682	7.009	2.398	1.11	0.80	0.20	1.81	0.07	0.93	0.47	0.52	0.34	0.13	-999.00	-999.00	0.43	0.39	0.31	2.49	3.5387	4.7407
20100529	16:10:00	31	36.8123	-75.3733	19.2	24	-83.18	-999	-999	-999	-999	-999	-999	-999	10-1265.5	3.320	0.214	0.932	0.130	0.001	0.732	0.082	0.182	0.001	0.936	0.308	0.098	3.283	0.001	0.038	0.206	0.008	0.462	0.470	0.007	0.024	0.026	0.046	0.093	0.001	0.001	4.466	0.492	1.976	6.442	2.468	3.614	6.934	2.370	1.09	0.80	0.20	1.81	0.07	0.93	0.48	0.52	0.34	0.13	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	16:07:00	31	36.8123	-75.3733	0	24	98.73	182.3807304	24.21942726	0.020712399	0.337485895	0.211721984	0.122997523	0.072129984	10-1266	0.555	0.024	0.106	0.033	0.027	0.094	0.023	0.078	0.008	0.114	0.060	0.032	0.542	0.006	0.007	0.024	0.001	0.067	0.039	0.001	0.001	0.010	0.032	0.002	0.001	0.001	0.685	0.174	0.295	0.980	0.469	0.599	1.154	0.374	1.08	0.63	0.37	1.46	0.15	0.85	0.48	0.47	0.39	0.15	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	18:12:00	32	36.6439	-75.0746	0	39	84.50	192.7067	28.3449322	0.021329326	0.25236793	0.15873587	0.088630161	0.054577991	10-1267	0.546	0.022	0.087	0.035	0.026	0.055	0.015	0.088	0.018	0.140	0.038	0.052	0.532	0.001	0.015	0.022	0.001	0.058	0.029	0.001	0.003	0.014	0.022	0.001	0.001	0.001	0.655	0.208	0.259	0.914	0.467	0.576	1.122	0.348	1.05	0.55	0.45	1.40	0.19	0.81	0.49	0.51	0.28	0.21	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100529	20:12:00	32A	36.3588	-75.0137	0	40	97.59	213.0102696	32.77747719	0.021094568	0.244435428	0.155954417	0.095100254	0.054718345	10-1268	0.395	0.019	0.067	0.026	0.029	0.057	0.019	0.068	0.018	0.076	0.030	0.034	0.386	0.001	0.009	0.019	0.001	0.041	0.026	0.001	0.002	0.007	0.016	0.001	0.001	0.001	0.481	0.165	0.192	0.673	0.357	0.443	0.838	0.264	1.12	0.54	0.46	1.35	0.20	0.80	0.47	0.40	0.40	0.20	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
